GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS,season,season_type
2019-03-14,LAL @ TOR,L,32,29,4,6,1,0,4,12,23,0.522,1,5,0.2,4,7,0.571,0,2018-19,Regular Season
2019-03-17,LAL @ NYK,L,35,33,6,8,0,1,2,11,26,0.423,0,6,0.0,11,13,0.846,9,2018-19,Regular Season
2019-03-22,LAL vs. BKN,L,37,25,9,14,1,1,8,8,25,0.32,1,7,0.143,8,12,0.667,-2,2018-19,Regular Season
2019-03-24,LAL vs. SAC,W,35,29,11,11,2,1,4,9,22,0.409,3,6,0.5,8,9,0.889,5,2018-19,Regular Season
2019-03-26,LAL vs. WAS,W,34,23,7,14,1,0,3,11,20,0.55,1,6,0.167,0,2,0.0,3,2018-19,Regular Season
2019-03-29,LAL vs. CHA,W,32,27,3,9,0,0,6,11,19,0.579,4,7,0.571,1,2,0.5,14,2018-19,Regular Season
2019-10-22,LAL @ LAC,L,36,18,10,8,1,1,5,7,19,0.368,1,5,0.2,3,4,0.75,-8,2019-20,Regular Season
2019-10-25,LAL vs. UTA,W,31,32,7,10,1,0,1,12,22,0.545,1,4,0.25,7,8,0.875,17,2019-20,Regular Season
2019-10-27,LAL vs. CHA,W,35,20,6,12,1,0,4,7,14,0.5,1,3,0.333,5,5,1.0,17,2019-20,Regular Season
2019-10-29,LAL vs. MEM,W,28,23,2,8,0,1,6,8,15,0.533,2,5,0.4,5,7,0.714,2,2019-20,Regular Season
2019-11-01,LAL @ DAL,W,43,39,12,16,4,1,4,13,23,0.565,4,9,0.444,9,11,0.818,15,2019-20,Regular Season
2019-11-03,LAL @ SAS,W,37,21,11,13,2,1,5,8,23,0.348,0,6,0.0,5,10,0.5,15,2019-20,Regular Season
2019-11-05,LAL @ CHI,W,35,30,10,11,2,1,2,10,19,0.526,2,6,0.333,8,9,0.889,17,2019-20,Regular Season
2019-11-08,LAL vs. MIA,W,36,25,4,6,0,0,3,10,19,0.526,4,7,0.571,1,2,0.5,16,2019-20,Regular Season
2019-11-10,LAL vs. TOR,L,35,13,13,15,0,1,2,5,15,0.333,0,2,0.0,3,6,0.5,-6,2019-20,Regular Season
2019-11-12,LAL @ PHX,W,37,19,7,11,0,0,1,8,18,0.444,1,4,0.25,2,7,0.286,-2,2019-20,Regular Season
2019-11-13,LAL vs. GSW,W,26,23,6,12,1,1,4,11,21,0.524,1,5,0.2,0,1,0.0,13,2019-20,Regular Season
2019-11-15,LAL vs. SAC,W,39,29,4,11,3,0,2,10,20,0.5,2,7,0.286,7,7,1.0,13,2019-20,Regular Season
2019-11-17,LAL vs. ATL,W,33,33,7,12,1,1,0,13,21,0.619,6,10,0.6,1,1,1.0,30,2019-20,Regular Season
2019-11-19,LAL vs. OKC,W,37,25,11,10,2,0,7,10,21,0.476,2,5,0.4,3,5,0.6,6,2019-20,Regular Season
2019-11-22,LAL @ OKC,W,36,23,6,14,1,1,5,9,20,0.45,1,3,0.333,4,6,0.667,3,2019-20,Regular Season
2019-11-23,LAL @ MEM,W,39,30,6,4,2,0,5,14,27,0.519,2,9,0.222,0,0,0.0,7,2019-20,Regular Season
2019-11-25,LAL @ SAS,W,35,33,4,14,0,1,3,13,24,0.542,4,7,0.571,3,8,0.375,6,2019-20,Regular Season
